btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_n_unique_addresses,btc_n_transactions,btc_estimated_transaction_volume,btc_transaction_to_trade_ratio,btc_market_price_label
-2.1025887149,-0.5149835229,-0.4137673068,-0.9282266131,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0367779808,-0.9057733441,-0.930842313,-0.6773999619,1.5330972841,0
-2.1019823961,-0.5149835229,-0.4137673068,-0.9286652573,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9058341541,-0.9309577415,-0.7132640549,1.5439010657,0
-2.1012768615,-0.5149835229,-0.4137673068,-0.9286257504,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0196034319,-0.9057788723,-0.9308528065,-0.7119699897,1.5430537102,0
-2.1001854877,-0.5149835229,-0.4137673068,-0.9286663849,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9055909139,-0.9304960278,-0.7132640549,1.5415708383,0
-2.0989618261,-0.5149835229,-0.4137673068,-0.928666182,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9055245757,-0.9303701059,-0.7132640549,1.5409353217,0
-2.0980468359,-0.5149835229,-0.4137673068,-0.9282410778,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5615397757,-0.0358128691,-0.9056683085,-0.9306534302,-0.694777409,1.5370693898,0
-2.0970987738,-0.5149835229,-0.4137673068,-0.9284254578,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0367787899,-0.905651724,-0.9306114562,-0.665753375,1.5286489225,0
-2.0961396877,-0.5149835229,-0.4137673068,-0.9286663648,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9056572522,-0.9306219497,-0.7132640549,1.5422063547,0
-2.0953128893,-0.5149835229,-0.4137673068,-0.928666217,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9057235904,-0.9307478716,-0.7132640549,1.5428418713,0
-2.0945081389,-0.5149835229,-0.4137673068,-0.9286284821,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.036850308,-0.9057291186,-0.9307583651,-0.6679717725,1.5299726612,0
-2.0937915804,-0.5149835229,-0.4137673068,-0.9286653676,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9057788723,-0.9308528065,-0.7132640549,1.5433714685,0
-2.0930639978,-0.5149835229,-0.4137673068,-0.9285769698,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0369363251,-0.9057678159,-0.9308318196,-0.6651987756,1.5295489834,0
-2.0923584632,-0.5149835229,-0.4137673068,-0.9286658511,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9057844004,-0.9308633,-0.7132640549,1.5434244282,0
-2.0918072643,-0.5149835229,-0.4137673068,-0.9285935922,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0276816872,-0.9058562669,-0.9309997154,-0.7114153903,1.5436362671,0
-2.0911348016,-0.5149835229,-0.4137673068,-0.9284881148,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0335943591,-0.9057954568,-0.930884287,-0.7075331947,1.5419415563,0
-2.0906387226,-0.5149835229,-0.4137673068,-0.9286669181,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.905889436,-0.9310626764,-0.7132640549,1.5444306626,0
-2.0903080033,-0.5149835229,-0.4137673068,-0.9286667833,-0.4310289537,-0.9156921893,-1.3811131437,-0.4702425945,-0.4759877481,-0.7001317658,-0.5630965236,-0.0374313057,-0.9059723588,-0.9312200788,-0.7132640549,1.5452250584,0
