"Date","Open","High","Low","Close","Volume","MarketCap","average_daily_price"
2017-10-03,4.38857191775045,4.24615651355003,4.38349228167349,4.25423596340303,2.05794109207312,4.41602910175075,4.31482439761176
2017-10-02,4.37353578412489,4.28953484532631,4.52940784345749,4.36280618580296,2.33766282781863,4.40055407995422,4.4094713443919
2017-10-01,4.30844656062008,4.21315176058572,4.39693073941728,4.35620969363188,1.90259635802644,4.3355675028637,4.3050412500015
2017-09-30,4.10050812453659,4.16110006003532,4.26285381897901,4.27933336999657,1.90111706974332,4.1290423036745,4.21197693950717
2017-09-29,4.10705746021065,3.99590397662883,4.11324637319947,4.07169754832493,2.21176760919766,4.13490308680331,4.05457517491415
2017-09-28,4.13737933916623,4.07020775044477,4.19989489057495,4.08548161619496,2.88381216908113,4.16427795623827,4.13505132050986
2017-09-27,3.77581084212589,3.99064251583605,3.92315126626876,4.11614702962107,2.83429494023577,3.8056774970009,3.95689689105241
2017-09-26,3.81797144763567,3.7147489734793,3.90479029653091,3.75166128299275,1.58246669496844,3.84695841254983,3.8097696350051
2017-09-25,3.52458260472675,3.69218672676092,3.67303843185045,3.79152395611258,2.22570406197018,3.55605496521558,3.68261257930568
2017-09-24,3.66076361891496,3.51515810052351,3.65497281283224,3.50398546314291,1.04578674514984,3.69038468215824,3.58506545667788
2017-09-23,3.46317812543057,3.54164921097798,3.56597379597959,3.6335036857707,1.35740855414797,3.49424711795763,3.55381150347878
2017-09-22,3.46091973381882,3.4716419138793,3.51545651664052,3.4423472728562,1.87655309851579,3.49157216004049,3.49354921525991
2017-09-21,3.78594983183546,3.65332314190945,3.58941725935131,3.44274920965515,2.2982475808014,3.81265935002602,3.62137020063038
2017-09-20,3.80364849030856,3.78539959329501,3.88981355378897,3.76773875495092,1.91353530559369,3.8297521182552,3.83760657354199
2017-09-19,3.99077406474907,3.85740578597872,3.90352274969243,3.79022357235126,2.59507845340032,4.01435969143363,3.88046426783557
2017-09-18,3.41702373264949,3.84035773397766,3.56167890426477,3.95599885857884,3.33322384235564,3.44628945068448,3.70101831912122
2017-09-17,3.43507897927181,3.36427594757074,3.38268406188067,3.38581604425031,1.96281896260486,3.46358088952819,3.3734800047257
2017-09-16,3.47248507612529,3.52973625280743,3.43455503201811,3.43565620732066,3.09028967049288,3.50003694729554,3.48214564241277
2017-09-15,2.91210679962156,3.44312893202847,2.76857607806141,3.4504096521764,7.62483379487006,2.94531311461575,3.10585250504494
2017-09-14,3.75492666285307,3.65812508647578,3.02361142447379,2.87993129608393,4.8380103840358,3.77817580764585,3.34086825547478
2017-09-13,4.05994027942667,3.90095643633992,3.80636466920963,3.74012333252864,3.87082834735119,4.07906245336053,3.85366055277477
2017-09-12,4.10380062178108,4.14526972603433,4.16976911717129,4.03356083910649,3.18007857641412,4.12171987245303,4.15751942160281
2017-09-11,4.0486364350963,4.0499430848586,4.18721942219024,4.06956964762459,2.58213468092305,4.06656039540295,4.11858125352442
2017-09-10,4.17566502012112,4.03129821397065,4.00464345233046,4.02425718437775,2.81913223533383,4.19158807035787,4.01797083315055
2017-09-09,4.17622367488824,4.10410856005064,4.2053219600484,4.14616225116652,2.24910017402682,4.19152421194605,4.15471526004952
2017-09-08,4.62237488092424,4.50868962162294,4.15741361206619,4.14934228054648,4.80799640334415,4.63165057693406,4.33305161684456
2017-09-07,4.60333307375574,4.50184282984893,4.66953945364846,4.58807993994636,3.14132511626038,4.61212409367681,4.5856911417487
2017-09-06,4.35069037003134,4.45843003435567,4.52833719709878,4.5848171588725,3.77874265172723,4.36191974080607,4.49338361572723
2017-09-05,4.17441696159884,4.24083761322895,4.06256911222059,4.32404292804497,4.80231282204587,4.18706831387717,4.15170336272477
2017-09-04,4.60629275539429,4.42899802005195,4.19829507417688,4.15827946348794,5.36553237152274,4.61286910848132,4.31364654711441
2017-09-03,4.59873308663077,4.56966742487201,4.57879294503792,4.5680776733631,3.31372059420193,4.60479456707625,4.57423018495497
2017-09-02,4.97451756455346,4.86945581100383,4.64235488116125,4.56312439339951,4.84935808231286,4.97509530643397,4.75590534608254
2017-09-01,4.737196264974,4.77407173029979,4.89991301497058,4.93342640194212,4.60983016636517,4.74008216019614,4.83699237263519
2017-08-31,4.56345463240098,4.59490635360942,4.74100202152226,4.71044605188687,3.33657170531217,4.56794116807984,4.66795418756584
2017-08-30,4.58101065561439,4.4690793229035,4.64502534391803,4.54720060315858,3.32279096709577,4.58456564128904,4.55705233341076
2017-08-29,4.36569084484199,4.46811433882797,4.49823603625509,4.56341993516345,4.38988335584925,4.37150559795743,4.48317518754153
2017-08-28,4.36003297954098,4.21337003079328,4.34134327272433,4.33128961209671,3.36460032541331,4.36541066731863,4.27735665175881
2017-08-27,4.31326050063459,4.22791371936022,4.4553609567868,4.33154968884897,2.54345907804738,4.31867340524905,4.34163733807351
2017-08-26,4.34530588897808,4.18505234333869,4.39657385729771,4.29551723698976,2.49314381210192,4.34988597786847,4.2908131003182
2017-08-25,4.29866415905973,4.27284291840074,4.44312851448156,4.31821484446013,2.9142738291216,4.30348219861614,4.35798571644115
2017-08-24,4.06662036408877,4.18173233860264,4.22519660222443,4.2745692367619,3.51723951904746,4.07421630944167,4.20346447041354
2017-08-23,4.00886497018631,4.04317670842422,4.1613885405014,4.05804351883104,4.16359117717154,4.01667988039625,4.10228262446281
2017-08-22,3.90110403149116,3.89725733071705,3.66442403586084,3.99775299898788,6.87773481893798,3.91010728645589,3.78084068328894
