"btc_market_price","btc_total_bitcoins","btc_market_cap","btc_trade_volume","btc_blocks_size","btc_avg_block_size","btc_n_orphaned_blocks","btc_n_transactions_per_block","btc_median_confirmation_time","btc_hash_rate","btc_difficulty","btc_miners_revenue","btc_transaction_fees","btc_cost_per_transaction_percent","btc_cost_per_transaction","btc_n_unique_addresses","btc_n_transactions","btc_n_transactions_total","btc_n_transactions_excluding_popular","btc_n_transactions_excluding_chains_longer_than_100","btc_output_volume","btc_estimated_transaction_volume"
-0.55528698171095,-2.11001887618681,-0.514983522920477,-0.41378471697346,-0.772824793828292,-0.928527435071709,-0.431028953724063,-0.915692189343252,-1.38111314366365,-0.470242594539904,-0.476080488588185,-0.700131765809183,-0.56309652355168,-0.0174445878362302,-0.85683172940813,-0.905906020530421,-0.931083663361729,-0.793801721728222,-0.852641615846504,-0.85380172088081,-0.638728133889894,-0.71252458909163
-0.55528698171095,-2.10945665330134,-0.514983522920477,-0.41378471697346,-0.772824793828292,-0.928665473787095,-0.431028953724063,-0.915692189343252,-1.38111314366365,-0.470242594539575,-0.476080488588185,-0.700131765809183,-0.56309652355168,-0.0374313057215722,-0.85683172940813,-0.9058562668555,-0.930999715425787,-0.793801007277067,-0.852558008459073,-0.853676067345734,-0.638903437871756,-0.71326405492746
-0.55528698171095,-2.10868497483108,-0.514983522920477,-0.41378471697346,-0.772824793828292,-0.92866632016649,-0.431028953724063,-0.915692189343252,-1.38111314366365,-0.470242594538957,-0.476080488588185,-0.700131765809183,-0.56309652355168,-0.0374313057215722,-0.85683172940813,-0.905751231319556,-0.930800339077924,-0.793800026657835,-0.852359440913926,-0.85337764019993,-0.638487090914834,-0.71326405492746
-0.55528698171095,-2.10782510453565,-0.514983522920477,-0.41378471697346,-0.772824793828292,-0.928665965233195,-0.431028953724063,-0.915692189343252,-1.38111314366365,-0.470242594538694,-0.476080488588185,-0.700131765809183,-0.56309652355168,-0.0374313057215722,-0.85683172940813,-0.905707005830737,-0.930716391141982,-0.793798933967834,-0.852275833526495,-0.853251986664854,-0.638311786932972,-0.71326405492746
-0.55528698171095,-2.10697625821836,-0.514983522920477,-0.41378471697346,-0.772824793828292,-0.928665431316445,-0.431028953724063,-0.915692189343252,-1.38111314366365,-0.470242594538727,-0.476080488588185,-0.700131765809183,-0.56309652355168,-0.0374313057215722,-0.85683172940813,-0.90571253401684,-0.930726884633975,-0.793797855286679,-0.852286284449924,-0.853267693356738,-0.638333699930705,-0.71326405492746
-0.55528698171095,-2.10610536394479,-0.514983522920477,-0.41378471697346,-0.772824793828292,-0.928665413114737,-0.431028953724063,-0.915692189343252,-1.38111314366365,-0.470242594538661,-0.476080488588185,-0.700131765809183,-0.56309652355168,-0.0374313057215722,-0.85683172940813,-0.905701477644635,-0.93070589764999,-0.793796748587832,-0.852265382603066,-0.853236279972969,-0.63828987393524,-0.71326405492746
-0.55528698171095,-2.1054218772997,-0.514983522920477,-0.41378471697346,-0.772824793828292,-0.928243624948904,-0.431028953724063,-0.915692189343252,-1.38111314366365,-0.47024259453922,-0.476080488588185,-0.700131765809183,-0.56309652355168,-0.036234322858676,-0.85683172940813,-0.905789928622272,-0.930873793521874,-0.793795866030524,-0.852432597377927,-0.853487587043121,-0.636449182125692,-0.694592542572744
-0.55528698171095,-2.10485965441423,-0.514983522920477,-0.41378471697346,-0.772824793828292,-0.928665416148355,-0.431028953724063,-0.915692189343252,-1.38111314366365,-0.470242594539575,-0.476080488588185,-0.700131765809183,-0.56309652355168,-0.0374313057215722,-0.85683172940813,-0.9058562668555,-0.930999715425787,-0.793795151579369,-0.852558008459073,-0.853676067345734,-0.638903437871756,-0.71326405492746
-0.55528698171095,-2.10424231163802,-0.514983522920477,-0.41378471697346,-0.772824793828292,-0.928665519291364,-0.431028953724063,-0.915692189343252,-1.38111314366365,-0.470242594539417,-0.476080488588185,-0.700131765809183,-0.56309652355168,-0.0374313057215722,-0.85683172940813,-0.905828625924988,-0.930947247965823,-0.793794367083984,-0.852505753841929,-0.853597533886312,-0.638793872883092,-0.71326405492746
-0.55528698171095,-2.10330527349557,-0.514983522920477,-0.41378471697346,-0.772824793828292,-0.928666760041086,-0.431028953724063,-0.915692189343252,-1.38111314366365,-0.470242594538464,-0.476080488588185,-0.700131765809183,-0.56309652355168,-0.0374313057215722,-0.85683172940813,-0.905668308528021,-0.930642936698033,-0.793793176332059,-0.852202677062493,-0.853142039821663,-0.638158395948843,-0.71326405492746
