Date(UTC),UnixTimeStamp,eth_etherprice,eth_tx,eth_address,eth_supply,eth_marketcap,eth_hashrate,eth_difficulty,eth_blocks,eth_uncles,eth_blocksize,eth_blocktime,eth_gasprice,eth_gaslimit,eth_gasused,eth_ethersupply,eth_ens_register
2015-08-18,-1.6462630347,-0.5515008434,-0.7618463544,-0.6517903223,-1.583053619,-0.5448527211,-0.5905086208,-0.4997617834,-0.6591880465,-0.2120615391,-0.5964009602,0.4667525258,1.9748267123,-0.6977377051,-0.681447129,-0.6590082735,-0.5380999139
2015-08-19,-1.6419193328,-0.5525801041,-0.7544770761,-0.6516445601,-1.5791362717,-0.545683233,-0.5899352767,-0.4996943743,-0.3313933979,-0.391974851,-0.5952862198,0.1886229025,2.8566363771,-0.6977185644,-0.6766856201,-0.376159184,-0.5380999139
2015-08-20,-1.6375756308,-0.5496366659,-0.7637180727,-0.6515320419,-1.576112754,-0.5434042208,-0.5905573427,-0.4996157304,-1.9005087651,-1.0371812107,-0.595955064,1.8268742207,1.1034567832,-0.6977207729,-0.6821545092,-1.9493418906,0.0299387668
2015-08-21,-1.6332319289,-0.550617812,-0.7478819639,-0.6513801423,-1.5722802802,-0.5441589322,-0.5901511533,-0.4997023992,-0.4711091498,-0.534664719,-0.5919419985,0.3039449414,0.7463259024,-0.6977119387,-0.6738907719,-0.5255404636,0.0745958958
2015-08-22,-1.6288882269,-0.551108385,-0.7512138185,-0.6512558608,-1.5683243888,-0.5445344197,-0.5888652908,-0.4990395436,-0.2252631633,-0.6277233286,-0.5964009602,0.1038272856,9.4285761706,-0.6976758657,-0.6768770937,-0.3083196285,0.0745958958
2015-08-23,-1.624544525,-0.5513046142,-0.7452262798,-0.651077366,-1.5645544202,-0.5446824989,-0.5886871861,-0.4985420006,-0.5718657016,-0.6463350505,-0.5890436733,0.392132383,0.634354561,-0.6975588124,-0.6717091607,-0.635552688,0.0745958958
2015-08-24,-1.6202008231,-0.5526782187,-0.7428547833,-0.65098684,-1.5606297141,-0.5457423916,-0.5882599414,-0.4984761966,-0.3421407634,-0.2927123341,-0.590827258,0.1987983765,0.9823492604,-0.6976074005,-0.6755583422,-0.3632072781,-0.5380999139
2015-08-25,-1.6158571211,-0.5524819895,-0.7423158068,-0.6508589784,-1.5567907564,-0.5455868965,-0.5884609018,-0.4984858264,-0.4590183635,-0.5532764409,-0.5892666214,0.2937694674,0.6892559154,-0.6976839637,-0.6723437138,-0.5141285709,-0.5380999139
2015-08-26,-1.6115134192,-0.5533650209,-0.7455594653,-0.6507520861,-1.5530376817,-0.5462678458,-0.5877727628,-0.4978213658,-0.5852999085,-0.7518014747,-0.5917190504,0.402307857,0.3966450954,-0.6976854361,-0.6752026567,-0.6652867888,-0.4862976443
2015-08-27,-1.6071697173,-0.5536593647,-0.7315068786,-0.6506446824,-1.5495150867,-0.5464930542,-0.5877819014,-0.4972788835,-0.9816090124,-0.9813460449,-0.583024075,0.7686249219,0.3751077998,-0.697625069,-0.6659630171,-1.0709420585,-0.5380999139
2015-08-28,-1.6028260153,-0.5521876456,-0.7396601227,-0.6505531335,-1.5460366672,-0.545348756,-0.5873205152,-0.4967556609,-1.0554971504,-1.0371812107,-0.5868141925,0.8432450648,0.9909727122,-0.6975676466,-0.6728358065,-1.148692981,0.0299387668
2015-08-29,-1.5984823134,-0.5532669063,-0.745726058,-0.6504876684,-1.5428023682,-0.546183016,-0.5873475768,-0.4961024351,-1.4907654543,-1.1922788933,-0.5888207252,1.3045332207,0.3183142741,-0.697697215,-0.6752797489,-1.5783566614,0.0745958958
2015-08-30,-1.5941386114,-0.5519914164,-0.7414828432,-0.6503843562,-1.5397219092,-0.5451905494,-0.5876037856,-0.4959050229,-1.7245206545,-1.5210859804,-0.5872600886,1.5894464934,0.2989502538,-0.6976088729,-0.6746043919,-1.8491225706,-0.5380999139
2015-08-31,-1.5897949095,-0.5519914164,-0.7353679101,-0.6503071278,-1.5366644467,-0.5451876356,-0.5869108578,-0.4952100677,-1.7688535373,-1.5024742585,-0.577896269,1.6233647401,0.3588994481,-0.6976751295,-0.6695627993,-1.8895972762,0.0745958958
2015-09-01,-1.5854512076,-0.5516970726,-0.7357892917,-0.650214556,-1.5337434592,-0.5449563008,-0.5868042717,-0.4945247424,-2.0160429445,-1.5707172389,-0.5756667881,1.959155383,0.3267610045,-0.6974159927,-0.6674339014,-2.1297998466,0.0299387668
2015-09-02,-1.5811075056,-0.5534631355,-0.7353777096,-0.6501373276,-1.5311032741,-0.5463253786,-0.5869699911,-0.493492742,-2.501017814,-1.7940579018,-0.5700930859,2.7257077596,0.3739440364,-0.697649363,-0.6675904106,-2.6240256186,-0.5380999139
2015-09-03,-1.5767638037,-0.5526782187,-0.7394739309,-0.6500626564,-1.528607596,-0.5457135043,-0.5876359496,-0.4933787886,-2.761641428,-1.8498930676,-0.5725455149,3.2039550389,0.29704226,-0.6974947644,-0.6700816293,-2.8783647204,-0.5380999139
2015-09-04,-1.5724201017,-0.5526782187,-0.7309973008,-0.6499884967,-1.5252933369,-0.5457105145,-0.5873108306,-0.4964041709,-1.3376154955,-1.1922788933,-0.5709848782,1.0908482661,0.365420683,-0.6975566038,-0.6622803839,-1.4376231482,-0.5380999139
