"Date","Open","High","Low","Close","Volume","Market.Cap"
2017-10-03,4.38721721115304,4.24484576910962,4.38213914310701,4.25292272492032,2.26833444920694,4.41466591940565
2017-10-02,4.37218571902585,4.28821071044515,4.52800966227169,4.36145943281955,2.56826542813136,4.39919567458771
2017-10-01,4.3071165878887,4.21185120436996,4.39557345253839,4.35486497691714,2.10176642034355,4.33422915817897
2017-09-30,4.09924234024202,4.15981557163922,4.26153792025373,4.27801238420495,2.10018025693124,4.12776771117502
2017-09-29,4.10578965420414,3.99467048254894,4.11197665673976,4.07044065755619,2.4332745735156,4.13362668514092
2017-09-28,4.13610217311043,4.06895131956117,4.19859842661735,4.08422047042755,3.15387278584065,4.16299248685859
2017-09-27,3.77464528851203,3.98941064591449,3.92194023019537,4.11487641775884,3.10077805267082,3.8045027238607
2017-09-26,3.81679287948052,3.71360226903047,3.90358492829829,3.75050318409712,1.75850813557771,3.8457708964195
2017-09-25,3.52349460266201,3.69104698704345,3.67190460301286,3.79035355202354,2.44821790250522,3.55495724795985
2017-09-24,3.65963357918471,3.5140730077054,3.65384456066372,3.50290381920199,1.1830543107643,3.68924549871324
2017-09-23,3.46210907829121,3.54055594062906,3.56487301688376,3.63238206089886,1.51719006885226,3.49316848014278
2017-09-22,3.45985138382151,3.47057025405631,3.51437133170445,3.44128465598481,2.07384159605847,3.49049434795738
2017-09-21,3.78478114842072,3.65219539897722,3.58830924350168,3.44168646871004,2.52600252142188,3.81148242166026
2017-09-20,3.80247434350166,3.7842310797332,3.88861280872138,3.76657569310659,2.11349568136613,3.82856991352932
2017-09-19,3.98954215421972,3.85621504485266,3.90231777273837,3.78905356967719,2.84427873244389,4.01312050026614
2017-09-18,3.4159689328921,3.8391722554083,3.56057945095743,3.95477768279467,3.63575340461359,3.44522561690371
2017-09-17,3.4340186060472,3.36323743050709,3.3816398624232,3.38477087798239,2.16633996768139,3.46251171805974
2017-09-16,3.47141315602685,3.52864665986504,3.43349482053058,3.43459565591175,3.37526780528469,3.49895652222047
2017-09-15,2.91120786248033,3.44206607386701,2.76772144736408,3.4493445465322,8.2374221694267,2.94440392702977
2017-09-14,3.75376755596858,3.65699586123311,3.02267806701229,2.87904229118666,5.24925726521109,3.77700952399169
2017-09-13,4.05868701800479,3.89975225158015,3.8051896839465,3.73896879527856,4.21219858155969,4.07780328912205
2017-09-12,4.10253382112679,4.14399012429802,4.16848195272723,4.03231572074403,3.47154375029744,4.12044754031207
2017-09-11,4.04738666305384,4.04869290946693,4.18592687101816,4.06831341371671,2.83039980258621,4.06530509041999
2017-09-10,4.17437603567303,4.03005379405708,4.00340726046513,4.02301493795693,3.08451987769467,4.19029417062944
2017-09-09,4.17493451798921,4.10284166433902,4.20402382081079,4.14488237391696,2.47330432910512,4.19023033193006
